n,Tournament External Cache Branchless,Tournament 4ary,Tournament 8ary,Loser 4ary,Loser 8ary
411,669,2299,1950,2084,1887
412,671,2305,1958,2090,1891
413,673,2310,1961,2110,1897
414,675,2315,1963,2107,1902
415,677,2321,1971,2114,1906
416,679,2327,1977,2109,1912
417,681,2333,1976,2099,1918
418,683,2339,1982,2139,1924
419,686,2343,1985,2133,1929
420,687,2348,1991,2148,1935
421,689,2355,1996,2145,1942
422,691,2360,2001,2165,1946
423,693,2366,2008,2154,1952
424,695,2371,2008,2153,1958
425,697,2377,2009,2197,1963
426,700,2382,2019,2186,1968
427,701,2387,2025,2187,1974
428,704,2393,2033,2172,1978
429,706,2399,2039,2200,1985
430,708,2406,2044,2226,1989
431,710,2410,2044,2220,1995
432,712,2416,2052,2205,2000
433,715,2423,2057,2214,2005
434,716,2428,2062,2235,2011
435,718,2434,2064,2226,2016
436,721,2441,2070,2233,2023
437,722,2447,2075,2256,2027
438,725,2451,2079,2241,2031
439,727,2458,2082,2263,2036
440,728,2463,2089,2268,2041
441,731,2468,2093,2263,2047
442,733,2474,2098,2276,2052
443,735,2481,2105,2287,2057
444,737,2485,2112,2271,2062
445,739,2492,2117,2273,2068
446,741,2497,2120,2290,2073
447,743,2504,2125,2312,2077
448,745,2510,2128,2310,2083
449,747,2517,2139,2312,2088
450,750,2524,2148,2317,2094
451,752,2532,2155,2330,2101
452,754,2544,2165,2333,2105
453,756,2548,2170,2319,2111
454,758,2555,2175,2334,2116
455,760,2561,2178,2349,2121
456,762,2574,2188,2360,2126
457,764,2575,2191,2357,2131
458,766,2583,2193,2381,2137
459,768,2591,2208,2376,2143
460,771,2596,2210,2375,2149
461,773,2606,2213,2372,2154
462,775,2610,2222,2382,2158
463,777,2615,2228,2398,2163
464,779,2623,2232,2395,2169
465,781,2629,2234,2397,2174
466,783,2636,2239,2417,2180
467,785,2643,2248,2414,2184
468,787,2649,2249,2447,2190
469,790,2656,2254,2415,2195
470,791,2663,2264,2422,2200
471,793,2668,2258,2424,2205
472,795,2674,2269,2434,2210
473,798,2685,2279,2440,2216
474,799,2687,2282,2455,2220
475,801,2692,2283,2467,2226
476,803,2697,2290,2468,2231
477,806,2705,2292,2465,2235
478,808,2710,2303,2477,2241
479,810,2717,2308,2477,2245
480,812,2723,2312,2483,2251
481,814,2728,2312,2514,2256
482,816,2733,2316,2518,2261
483,819,2740,2325,2486,2266
484,820,2745,2330,2498,2271
485,823,2752,2340,2509,2277
486,825,2758,2340,2529,2283
487,827,2763,2344,2517,2287
488,829,2769,2346,2533,2293
489,831,2775,2352,2549,2297
490,834,2781,2364,2544,2303
491,836,2786,2369,2547,2308
492,838,2793,2371,2563,2315
493,840,2797,2381,2558,2319
494,842,2807,2382,2562,2325
495,844,2809,2387,2592,2330
496,846,2815,2395,2571,2333
497,848,2822,2399,2589,2339
498,851,2834,2406,2566,2344
499,852,2834,2406,2597,2349
500,855,2845,2410,2629,2355
501,857,2847,2419,2602,2361
502,859,2856,2425,2613,2365
503,861,2858,2428,2638,2371
504,863,2863,2430,2636,2375
505,866,2870,2430,2636,2381
506,868,2878,2439,2634,2387
507,870,2883,2446,2647,2392
508,873,2888,2451,2657,2397
509,875,2894,2455,2644,2401
510,877,2902,2457,2662,2408
511,879,2906,2469,2678,2412
512,881,2912,2470,2661,2417
513,885,2923,2855,2689,2531
514,887,2931,2865,2666,2545
515,889,2939,2872,2697,2545
516,891,2948,2882,2680,2552
517,893,2958,2889,2698,2563
518,895,2967,2899,2689,2566
519,897,2976,2909,2721,2581
520,899,2982,2917,2712,2593
521,902,2991,2928,2735,2591
522,904,3001,2934,2742,2600
523,906,3010,2946,2740,2604
524,908,3016,2956,2746,2614
525,911,3027,2965,2764,2619
526,913,3033,2971,2775,2627
527,915,3043,2978,2761,2628
528,917,3045,2989,2770,2639
529,919,3056,2998,2774,2647
530,921,3066,3006,2775,2654
531,924,3071,3023,2789,2662
532,926,3082,3029,2801,2669
533,928,3090,3029,2810,2674
534,930,3098,3041,2824,2689
535,932,3104,3049,2833,2698
536,934,3111,3062,2828,2700
537,936,3120,3066,2830,2702
538,939,3128,3074,2851,2708
539,941,3134,3084,2867,2716
540,943,3143,3090,2871,2720
541,945,3151,3098,2864,2727
542,948,3159,3108,2896,2735
543,950,3165,3117,2873,2738
544,952,3175,3125,2890,2745
545,955,3173,3128,2894,2752
546,957,3186,3137,2901,2761
547,959,3195,3144,2905,2768
548,962,3197,3153,2937,2775
549,964,3209,3161,2938,2781
