n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
200,5247,5139,4874,5263,5287,5523,5664,5745,5704,5774,5835,6240,6701,5914,6099
201,5610,5424,5194,5516,5655,5539,5744,5889,5724,5812,5767,6255,6760,5873,6109
202,5708,5446,5220,5536,5645,5600,5726,5765,5766,5810,5796,6286,6773,5916,6139
203,5657,5554,5243,5535,5725,5631,5813,5889,5848,5843,5858,6337,6883,5957,6195
204,5678,5533,5285,5547,5664,5649,5801,5840,5835,5930,5931,6421,6822,5976,6306
205,5728,5550,5352,5586,5760,5695,5899,5941,5869,5916,5901,6407,6879,6009,6300
206,5764,5562,5322,5651,5753,5727,5905,5922,5950,5949,5935,6434,6972,6092,6275
207,5859,5626,5429,5720,5773,5812,5993,6007,5985,6002,6035,6511,6988,6135,6307
208,5823,5619,5369,5686,5813,5797,5931,5913,5975,6005,6003,6510,7011,6156,6341
209,5947,5846,5519,5829,6074,5863,6000,6094,6022,6050,6079,6551,7021,6136,6439
210,5913,5923,5539,5863,6030,5877,6020,6025,6100,6108,6084,6608,7056,6184,6404
211,6018,5882,5573,5858,6085,5916,6056,6146,6082,6123,6150,6662,7104,6196,6449
212,6018,5925,5583,5925,6186,5926,6093,6135,6127,6216,6114,6706,7195,6229,6501
213,6038,5963,5727,5974,6154,5978,6113,6237,6136,6184,6220,6853,7254,6270,6551
214,6033,5973,5698,5950,6178,5986,6207,6185,6229,6220,6177,6719,7206,6313,6588
215,6122,6003,5675,5976,6189,6008,6201,6349,6217,6264,6244,6816,7249,6305,6574
216,6115,6033,5702,6009,6256,6095,6276,6224,6314,6289,6253,6790,7286,6347,6650
217,6101,5776,5599,6140,6296,6080,6266,6407,6336,6391,6319,6875,7326,6371,6633
218,6059,5818,5642,6174,6263,6145,6400,6327,6338,6399,6392,6869,7376,6457,6705
219,6093,5906,5704,6214,6321,6176,6425,6459,6415,6489,6378,6928,7429,6485,6740
220,6180,5860,5740,6170,6351,6317,6432,6426,6474,6445,6359,6935,7464,6504,6788
221,6219,5916,5742,6314,6480,6269,6516,6576,6535,6510,6429,6982,7510,6497,6835
222,6199,5922,5736,6255,6350,6373,6473,6483,6505,6567,6431,7034,7579,6558,6868
223,6212,6007,5832,6302,6381,6312,6498,6578,6577,6549,6455,7051,7594,6552,6874
224,6236,5966,5794,6338,6469,6369,6600,6506,6657,6601,6551,7125,7597,6580,6933
225,6440,6179,5979,6473,6681,6386,6598,6657,6609,6652,6589,7188,7672,6633,6901
226,6470,6317,6030,6584,6759,6428,6704,6625,6677,6709,6704,7205,7770,6650,7010
227,6423,6248,6039,6508,6781,6441,6663,6723,6693,6714,6587,7213,7743,6673,6970
228,6493,6248,6046,6518,6781,6497,6660,6683,6698,6733,6625,7215,7750,6718,7008
229,6527,6273,6080,6545,6846,6506,6757,6807,6778,6779,6656,7269,7797,6738,7076
230,6558,6306,6106,6613,6843,6627,6791,6801,6819,6801,6746,7281,7833,6763,7128
231,6636,6422,6122,6621,6863,6602,6942,6913,6857,6873,6756,7330,7860,6796,7136
232,6667,6448,6196,6688,6973,6655,6810,6945,6864,6942,6810,7353,7916,6885,7213
233,7007,6783,6538,7003,7321,6726,6895,7006,6940,7033,6825,7434,8040,6911,7234
234,6991,6863,6606,7029,7323,6779,6940,6953,6970,7069,6872,7477,8035,6901,7232
235,7008,6827,6615,7019,7352,6762,6964,7046,7003,7043,6895,7508,8077,6971,7285
236,7061,6889,6634,7053,7376,6816,7026,7030,7046,7064,6960,7605,8170,7013,7390
237,7040,6835,6650,7044,7391,6832,7028,7105,7072,7101,6917,7529,8104,7018,7295
238,7060,6877,6665,7115,7386,6854,7072,7110,7125,7104,6971,7579,8131,7001,7347
239,7205,6982,6743,7137,7576,6936,7057,7161,7110,7143,6960,7606,8166,7030,7364
240,7213,6936,6713,7178,7492,6956,7088,7099,7184,7266,6993,7638,8257,7060,7449
241,7402,7221,7003,7441,7695,7054,7164,7261,7255,7295,7079,7709,8323,7112,7498
242,7496,7246,7003,7467,7717,7052,7197,7326,7268,7335,7112,7754,8341,7160,7537
243,7477,7288,7036,7526,7733,7117,7249,7355,7314,7389,7137,7796,8353,7169,7553
244,7535,7301,7062,7505,7780,7111,7295,7295,7381,7373,7164,7884,8424,7268,7580
245,7568,7389,7084,7575,7818,7173,7320,7420,7391,7440,7229,7854,8484,7251,7620
246,7645,7371,7138,7594,7894,7193,7376,7448,7477,7483,7240,7907,8483,7275,7634
247,7659,7420,7156,7603,7943,7223,7411,7498,7490,7550,7281,7940,8564,7306,7671
248,7689,7443,7184,7634,7957,7249,7441,7428,7522,7548,7321,7975,8560,7333,7730
249,7571,7307,7229,7684,7976,7353,7511,7538,7552,7621,7350,7998,8638,7390,7748
250,7590,7342,7085,7650,7984,7322,7547,7625,7673,7649,7449,8024,8659,7419,7809
251,7704,7432,7200,7774,8035,7357,7638,7686,7807,7690,7396,8107,8688,7445,7900
252,7724,7337,7192,7759,7975,7500,7666,7749,7716,7800,7579,8087,8722,7510,7892
253,7792,7441,7317,7907,8006,7402,7629,7692,7736,7724,7445,8169,8813,7550,7874
254,7766,7490,7610,7876,8082,7521,7735,7736,7814,7895,7519,8197,8840,7553,8013
255,7909,7568,7443,8030,8166,7480,7761,7754,7801,7813,7493,8178,8873,7533,7923
256,7976,7505,7608,8184,8289,7572,7733,7716,7878,7837,7531,8274,8842,7555,7960
257,8411,8144,8210,8419,8603,7551,7773,7836,7836,7864,7567,8309,8888,7603,8005
258,8247,7908,7725,8429,8494,7560,7803,7823,7880,7904,7597,8311,8938,7649,8042
259,8236,7980,7758,8374,8739,7583,7833,7929,7903,7935,7648,8348,8984,7696,8098
260,8462,8444,8038,8425,8861,7625,7877,7942,7951,8042,7741,8397,9025,7750,8126
261,8588,8591,8272,8425,9033,7638,7909,8047,7961,8004,7785,8444,9072,7793,8170
262,8516,8158,8045,8500,9026,7735,7946,7978,8011,8042,7753,8545,9120,7847,8208
263,8712,8261,8056,8586,9134,7774,7992,8064,8045,8081,7800,8571,9159,7894,8364
264,8727,8825,8708,8759,9099,7793,8027,8037,8115,8116,7850,8606,9259,7946,8295
265,8932,8867,8697,8922,9210,7844,8120,8149,8091,8200,7896,8622,9311,7991,8385
266,8768,8423,8232,8990,8998,7804,8090,8131,8197,8182,7967,8739,9294,8062,8379
267,8786,8627,8470,8958,9207,7871,8184,8229,8188,8210,7970,8771,9390,8083,8428
268,9237,9008,8777,9187,9439,7870,8226,8182,8207,8310,8006,8761,9441,8200,8532
269,9108,9012,8917,9281,9550,7873,8200,8357,8226,8279,8075,8803,9426,8184,8505
270,9061,8675,8651,9088,9293,7980,8286,8271,8315,8319,8089,8905,9499,8231,8543
271,8963,8753,8631,9230,9446,7947,8337,8381,8306,8416,8126,8897,9567,8337,8645
272,9326,9282,9088,9489,9578,7980,8314,8382,8331,8385,8162,8950,9552,8340,8631
