n,Baseline (copy+sort),Find SIMD,Heap Cache,Tournament Tree
639,151,322,260,299
640,152,322,261,300
641,151,322,261,300
642,153,323,262,301
643,152,323,262,301
644,155,323,263,302
645,152,324,263,303
646,155,325,263,303
647,153,325,264,304
648,156,325,264,304
649,153,331,265,304
650,157,332,266,305
651,153,333,266,306
652,157,333,266,306
653,154,333,267,306
654,158,333,267,307
655,155,334,267,308
656,157,334,268,308
657,155,337,268,309
658,158,337,269,309
659,155,338,269,310
660,159,339,270,310
661,156,339,270,311
662,161,339,271,312
663,156,340,271,312
664,160,341,272,313
665,157,346,272,313
666,160,346,273,314
667,158,347,273,314
668,162,347,274,314
669,158,347,274,315
670,160,348,275,316
671,159,349,275,316
672,161,349,276,317
673,159,352,276,318
674,162,353,277,318
675,160,353,277,318
676,162,353,278,319
677,160,355,278,320
678,163,356,278,320
679,161,356,279,320
680,162,356,280,321
681,161,359,280,322
682,164,360,281,323
683,162,361,281,323
684,165,362,282,323
685,162,363,282,324
686,165,363,283,325
687,162,363,283,325
688,165,364,283,326
689,164,368,284,326
690,165,369,284,326
691,163,369,285,327
692,166,371,285,328
693,164,372,285,328
694,167,371,286,329
695,164,371,287,329
696,167,372,287,330
697,165,377,288,331
698,167,377,288,331
699,166,378,289,331
700,168,379,289,332
701,166,378,289,332
702,168,378,290,333
703,167,380,291,334
704,168,380,291,335
705,167,381,292,335
706,170,382,292,335
707,168,383,292,336
708,171,382,293,336
709,168,383,293,337
710,171,383,294,337
711,170,384,294,338
712,172,385,295,339
713,170,391,295,339
714,173,391,296,340
715,169,391,296,340
716,173,392,297,341
717,170,392,297,342
718,173,393,298,342
719,170,394,299,343
720,176,395,299,343
721,171,399,299,344
722,173,398,300,344
723,171,399,300,345
724,174,399,301,346
725,172,400,301,346
726,174,401,302,347
727,172,402,303,347
728,175,401,303,347
729,173,406,303,348
730,176,406,304,348
731,174,407,304,349
732,175,408,305,350
733,174,408,305,351
734,177,410,306,351
735,174,410,306,351
736,177,409,307,352
737,175,413,307,352
738,177,414,308,353
739,176,414,308,353
740,178,415,308,354
741,177,417,309,354
742,180,416,309,355
743,176,418,310,355
744,179,417,311,356
745,177,422,311,357
746,181,423,311,357
747,177,423,312,358
748,182,426,313,358
749,177,426,313,358
750,180,425,314,359
751,178,426,314,360
752,181,427,315,360
753,178,431,315,361
754,181,431,315,361
755,179,433,315,362
756,185,432,316,363
757,179,433,316,363
758,184,434,317,363
759,180,434,317,364
760,183,434,318,365
761,180,439,318,365
762,184,441,319,366
763,180,442,319,367
764,184,441,320,367
765,184,442,320,368
766,185,442,321,368
767,183,443,321,368
768,187,444,322,370
769,182,444,322,370
770,185,445,323,370
771,183,445,323,371
772,188,446,324,371
773,183,446,325,372
774,186,446,325,373
775,185,449,325,373
776,187,449,326,374
777,187,455,326,374
778,186,456,327,375
779,185,458,327,375
780,188,457,328,376
781,186,457,328,376
782,189,458,329,377
783,187,459,329,377
784,190,460,329,378
785,187,462,330,378
786,191,463,331,379
787,188,464,331,380
788,190,465,332,380
789,189,466,332,381
790,194,466,332,381
791,187,466,333,382
792,191,466,334,382
793,189,471,334,383
794,191,472,335,384
795,189,472,335,384
796,193,473,335,384
797,190,474,336,385
798,192,474,336,385
799,191,474,337,386
800,193,476,337,387
801,191,481,338,387
802,192,482,338,388
803,191,482,338,388
804,196,482,339,389
805,191,483,339,389
806,196,484,340,390
807,193,484,341,391
808,197,485,341,391
809,192,489,342,392
810,195,490,342,392
811,193,491,342,393
812,196,492,343,393
813,194,493,343,394
814,199,492,344,395
815,193,493,344,395
816,199,493,345,395
817,196,499,346,396
818,196,499,346,397
819,195,500,346,397
820,198,500,347,398
821,197,501,347,398
822,198,503,348,399
823,196,502,349,399
824,199,504,349,400
825,197,508,349,400
826,200,508,350,401
827,197,509,350,402
828,202,509,351,402
829,197,510,351,403
830,201,510,352,403
831,198,511,352,404
832,204,512,353,404
833,200,512,353,405
834,202,513,354,406
835,200,517,354,406
836,202,515,355,407
837,200,516,355,406
838,204,516,356,407
839,201,515,356,408
840,203,516,357,408
841,201,526,357,409
842,203,526,358,409
843,201,527,358,410
844,207,528,359,411
845,201,528,359,411
846,204,529,360,412
847,202,531,360,412
848,207,531,360,412
849,203,532,361,412
850,204,533,361,413
851,203,532,361,414
852,205,533,363,415
853,204,534,363,416
854,206,534,364,416
855,205,535,364,416
856,206,536,365,417
857,205,542,365,418
858,208,541,366,418
859,205,544,366,419
860,208,544,367,419
861,206,544,367,420
862,208,545,367,420
863,206,545,368,421
864,210,549,369,421
865,206,550,369,422
866,211,551,369,422
867,207,551,370,423
868,209,552,370,423
869,208,553,370,424
870,210,553,371,424
871,208,555,372,425
872,210,556,373,426
873,208,561,373,426
874,212,562,373,427
875,208,561,374,427
876,212,564,374,428
877,211,563,374,428
878,212,563,376,428
879,209,563,375,429
880,212,565,377,431
881,211,570,377,430
882,213,570,377,432
883,212,572,377,431
884,214,572,378,432
885,210,572,379,433
886,214,573,380,433
887,213,573,380,434
888,216,574,381,435
889,213,579,381,435
890,216,579,381,436
891,213,580,382,436
892,216,582,382,437
893,214,581,383,437
894,217,582,384,438
895,216,583,384,439
896,216,585,384,439
897,215,584,384,439
898,218,585,385,440
899,214,586,386,440
900,218,587,386,440
901,216,587,387,442
902,218,590,388,442
903,216,589,387,443
904,220,590,388,443
905,216,597,389,444
906,219,598,390,444
907,217,599,389,445
908,220,599,391,445
909,217,601,390,446
910,224,600,391,446
911,219,601,392,447
912,221,603,392,448
913,218,607,393,448
914,227,607,394,449
915,219,608,394,449
916,221,609,394,450
917,220,609,395,450
918,222,609,395,451
919,220,610,395,451
920,223,611,396,452
921,221,616,396,452
922,225,616,397,453
923,221,617,397,453
924,223,617,398,454
925,220,618,399,455
926,223,619,399,455
927,222,620,400,456
928,225,622,401,457
929,222,626,400,457
930,228,626,401,457
931,222,626,401,458
932,225,627,402,458
933,223,628,402,459
934,227,628,403,459
935,224,630,403,460
936,228,630,405,461
937,225,635,405,461
938,227,636,406,462
939,225,637,406,462
940,228,637,407,463
941,225,637,406,463
942,231,640,407,464
943,225,639,408,464
944,230,641,409,465
945,227,645,408,465
946,231,645,409,466
947,226,647,410,466
948,231,646,411,468
949,229,647,411,468
950,232,648,411,469
951,228,649,412,469
952,231,650,413,470
953,228,656,413,470
954,233,657,414,471
955,229,657,414,472
956,231,658,415,472
957,229,659,415,473
958,232,659,416,473
959,230,659,416,473
960,233,660,417,474
961,230,664,417,474
962,233,663,418,474
963,231,663,418,476
964,234,666,419,476
965,231,665,419,477
966,234,666,420,477
967,232,666,420,478
968,237,668,421,478
969,233,676,421,479
970,237,677,422,479
971,233,678,422,480
972,236,678,422,480
973,233,680,423,481
974,235,680,423,481
975,234,681,424,482
976,237,681,424,482
977,235,684,425,483
978,239,685,426,484
979,234,688,426,484
980,237,689,427,485
981,235,687,427,485
982,239,688,428,486
983,236,689,428,486
984,238,690,429,487
985,237,695,429,488
986,240,696,430,488
987,237,698,430,489
988,241,697,431,490
989,237,697,431,490
990,240,700,431,490
991,238,699,432,490
992,240,700,433,492
993,238,704,433,491
994,241,706,433,492
995,238,706,434,492
996,242,706,435,493
997,240,708,435,495
998,243,709,436,495
999,240,710,435,494
1000,244,709,437,496
