COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 30
TEST_TYPE ordered
SEED 1759363683

Init: 14334

## MERGING 3 LISTS ##
Baseline (copy+sort) 193
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
Tournament Tree (O1)                     | true    |      ? |       204,204,204 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       143,143,143 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          78,78,78 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       164,164,164 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       622,622,622 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (Os)                          | true    |      ? |       621,621,621 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (O3)                                | true    |      ? |    1236,1236,1236 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       259,259,259 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       320,320,320 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       165,165,165 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       155,155,155 |             0.0000 |
Find (O1)                                | true    |      ? |       875,875,875 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       165,165,165 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       321,321,321 |             0.0000 |

## MERGING 11 LISTS ##
Baseline (copy+sort) 748
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |       968,968,968 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       422,422,422 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       682,682,682 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Find Unrolled (O2)                       | true    |      ? |       414,414,414 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       683,683,683 |             0.0000 |
Find Unrolled (O3)                       | true    |      ? |       424,424,424 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (Oz)                                | true    |      ? |       906,906,906 |             0.0000 |
Find (O2)                                | true    |      ? |       966,966,966 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported
