n,Heap Branchless Parallel,Heap 3ary Branchless Parallel,Heap 4ary Branchless Parallel
662,1305,1182,1193
663,1310,1182,1123
664,1332,1191,1192
665,1320,1187,1131
666,1326,1191,1129
667,1322,1195,1134
668,1327,1226,1126
669,1328,1192,1200
670,1335,1212,1200
671,1333,1195,1195
672,1346,1268,1140
673,1341,1270,1206
674,1348,1198,1141
675,1465,1202,1151
676,1352,1203,1146
677,1353,1209,1186
678,1470,1199,1149
679,1470,1206,1155
680,1388,1208,1151
681,1475,1209,1217
682,1370,1206,1156
683,1375,1212,1220
684,1484,1208,1156
685,1372,1214,1160
686,1491,1216,1158
687,1492,1290,1159
688,1388,1221,1165
689,1499,1220,1164
690,1385,1230,1230
691,1400,1224,1166
692,1507,1226,1234
693,1391,1226,1235
694,1415,1229,1169
695,1395,1229,1174
696,1398,1231,1175
697,1400,1233,1174
698,1440,1234,1177
699,1521,1236,1169
700,1406,1230,1178
701,1527,1239,1180
702,1408,1313,1221
703,1411,1240,1249
704,1414,1315,1250
705,1415,1269,1254
706,1451,1247,1178
707,1417,1319,1188
708,1418,1242,1189
709,1421,1323,1192
710,1422,1256,1195
711,1546,1254,1199
712,1425,1254,1262
713,1426,1257,1200
714,1428,1258,1218
715,1430,1262,1266
716,1430,1260,1200
717,1433,1335,1207
718,1433,1262,1205
719,1435,1266,1205
720,1435,1263,1209
721,1439,1267,1204
722,1439,1342,1213
723,1440,1270,1211
724,1443,1271,1211
725,1442,1274,1210
726,1443,1273,1211
727,1443,1275,1284
728,1445,1278,1218
729,1446,1353,1219
730,1449,1286,1220
731,1451,1282,1225
732,1451,1282,1224
733,1453,1291,1226
734,1581,1321,1229
735,1457,1286,1228
736,1465,1324,1221
737,1457,1364,1297
738,1454,1292,1232
739,1468,1319,1233
740,1517,1295,1243
741,1589,1288,1304
742,1464,1298,1246
743,1482,1291,1244
744,1464,1300,1245
745,1523,1302,1244
746,1594,1295,1263
747,1596,1304,1234
748,1467,1306,1255
749,1467,1383,1249
750,1480,1308,1269
751,1474,1311,1252
752,1473,1312,1319
753,1473,1388,1320
754,1477,1316,1244
755,1474,1316,1256
756,1475,1393,1257
757,1480,1321,1259
758,1485,1322,1260
759,1480,1357,1255
760,1510,1324,1265
761,1611,1322,1267
762,1484,1326,1256
763,1485,1326,1257
764,1487,1336,1336
765,1614,1331,1290
766,1496,1333,1271
767,1489,1335,1272
768,1487,1335,1277
769,1498,1361,1276
770,1493,1414,1277
771,1497,1342,1277
772,1498,1351,1280
773,1499,1343,1349
774,1499,1343,1282
775,1496,1381,1284
776,1503,1348,1285
777,1502,1348,1287
778,1500,1351,1289
779,1502,1351,1290
780,1503,1353,1291
781,1504,1356,1359
782,1503,1355,1294
783,1510,1356,1295
784,1505,1362,1299
785,1512,1361,1301
786,1511,1360,1300
787,1509,1364,1303
788,1511,1364,1304
789,1511,1366,1305
790,1511,1444,1304
791,1514,1369,1307
792,1519,1370,1309
793,1519,1373,1308
