n,Find (O0),Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Insert (O0),Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz),Insert Cache (O0),Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz),Heap (O0),Heap (O1),Heap (O2),Heap (O3),Heap (Os),Heap (Oz),Tournament Tree (O0),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz),State Machine (O0),State Machine (O1),State Machine (O2),State Machine (O3),State Machine (Os),State Machine (Oz)
60,43041,12811,12093,12033,12492,12896,35933,13285,14218,14228,13028,13063,38808,11541,11933,11951,11881,12453,31010,17763,16158,15637,16063,17264,34685,14322,15526,17094,15456,15007,0,0,0,0,0,0
61,43852,13045,12349,12103,12731,13117,36929,13612,14623,14521,13350,13444,39992,11861,12239,12287,12148,12596,31555,18202,16676,16111,16554,17791,35211,14618,15725,17388,15745,15125,0,0,0,0,0,0
62,44602,13268,12663,12346,12940,13362,37958,13908,14938,14883,13765,13789,41409,12209,12626,12656,12505,12951,32376,18722,17146,16602,16988,18234,35968,14824,16037,17736,16075,15386,0,0,0,0,0,0
63,45377,13517,12823,12582,13146,13631,39131,14371,15227,15176,14112,14162,42343,12453,13058,13038,12878,13350,33146,19237,17536,17022,17504,18780,36611,15115,16315,18055,16367,15688,0,0,0,0,0,0
64,46147,13790,13050,12755,13394,13858,40289,14762,15601,15546,14542,14579,43468,12806,13387,13379,13294,14111,33816,19523,17774,17295,17746,18994,37202,15441,16511,18357,16606,15969,0,0,0,0,0,0
65,50624,14380,13686,13357,13916,14307,41469,15068,15825,15780,14900,14920,44887,13158,13709,13769,13664,14483,34451,19709,17982,17476,17982,19283,37955,15939,17016,18765,17148,16650,0,0,0,0,0,0
66,51430,14525,13874,13569,14148,14441,42617,15653,16137,16239,15288,15240,46196,13437,14093,14118,14019,14803,35126,20055,18296,17768,18199,19581,38773,16425,17439,19127,17647,17242,0,0,0,0,0,0
67,52218,14751,14071,13727,14276,14702,43698,15734,16415,16461,15631,15636,47524,13753,14404,14435,14369,15160,35786,20344,18610,18005,18527,19969,39646,16803,17875,19609,17955,17735,0,0,0,0,0,0
68,52926,15049,14352,13931,14549,14939,43423,15972,16648,16798,16155,16121,48461,14044,14792,14821,14699,15603,36397,20735,18992,18319,18886,20235,40492,17134,18307,20001,18372,18144,0,0,0,0,0,0
69,53983,15330,14572,14184,14770,15129,43467,16243,17123,17207,16490,16569,49038,14394,15121,15180,15078,15996,36898,21047,19246,18651,19116,20620,41265,17535,18651,20372,18798,18564,0,0,0,0,0,0
70,54624,15501,14776,14358,14964,15389,43933,16474,17476,17515,16804,16818,50283,14731,15515,15576,15464,16344,37753,21399,19609,19010,19454,20999,41955,17909,19094,20817,19206,18962,0,0,0,0,0,0
71,55587,15817,15027,14611,15277,15627,44953,16835,17699,17813,17236,17183,51541,15088,15995,16007,15810,16782,38221,21841,19987,19260,19863,21619,42855,18338,19483,21164,19550,19317,0,0,0,0,0,0
72,56425,16062,15297,14838,15455,15872,46145,17155,18059,18194,17674,17571,52888,15405,16355,16339,16268,17147,39068,22218,20301,19672,20092,21778,43712,18631,19877,21590,19990,19686,0,0,0,0,0,0
73,61797,17127,16180,15584,16095,16452,47257,17464,18440,18549,18033,18085,54333,15786,16669,16746,16585,17557,39558,22429,20467,19828,20416,21969,44576,19053,20365,22053,20301,20089,0,0,0,0,0,0
74,62719,17373,16424,15820,16321,16637,48450,17829,18702,18906,18487,18537,55706,16080,17090,17127,16969,17978,40329,22838,20835,20213,20787,22303,45407,19377,20744,22503,20638,20438,0,0,0,0,0,0
75,63518,17523,16670,15974,16530,16860,49739,18239,19056,19219,18903,18879,57089,16485,17489,17506,17376,18476,40839,23217,21228,20530,21141,22750,46114,19687,21128,22856,21015,20811,0,0,0,0,0,0
76,64797,17826,16889,16232,16798,17095,51213,18534,19494,19590,19299,19285,58320,16808,17850,17891,17801,18787,41917,23672,21679,21006,21490,23208,46956,20048,21532,23270,21397,21180,0,0,0,0,0,0
77,65306,18029,17096,16459,16960,17338,52203,18834,19833,19896,19729,19742,59775,17127,18381,18340,18171,19228,42308,24027,21987,21249,21884,23547,47612,20389,21924,23630,21821,21481,0,0,0,0,0,0
78,66232,18402,17364,16694,17220,17609,53535,19329,20138,20349,20201,20161,61259,17567,18696,18739,18624,19683,43193,24408,22364,21630,22232,23928,48514,20725,22344,24021,22122,21816,0,0,0,0,0,0
79,67179,18615,17572,16909,17407,17769,54871,19648,20587,20685,20608,20557,62754,17894,19104,19125,19007,20086,43770,24929,22790,22032,22674,24345,49229,21063,22646,24291,22457,22158,0,0,0,0,0,0
80,68120,18944,17884,17135,17658,18055,56220,19906,20719,20920,21071,20967,64374,18232,19572,19621,19516,20566,44417,25331,23079,22294,22979,24669,50099,21381,23013,24709,22759,22466,0,0,0,0,0,0
81,74402,19288,18483,17691,18053,18697,57432,20280,21162,21392,21568,21700,65846,18633,19984,20068,19902,20985,44940,25559,23429,22610,23304,25114,50973,21806,23435,25094,23162,22931,0,0,0,0,0,0
82,75226,19466,18586,17880,18206,18926,58871,20697,21605,21796,21936,21873,67167,18966,20333,20386,20288,21411,45815,26042,23763,22906,23586,25439,51796,22083,23869,25495,23569,23296,0,0,0,0,0,0
83,76197,19652,18828,18122,18445,19145,60139,21038,21908,22090,22358,22334,68855,19363,20816,20857,20636,21893,46350,26371,24202,23323,24070,25793,52581,22456,24239,25879,23871,23574,0,0,0,0,0,0
84,77330,19974,19073,18336,18726,19441,61589,21410,22290,22381,22877,22781,70464,19750,21285,21307,21129,22332,47143,26849,24623,23759,24432,26343,53429,22820,24544,26285,24267,23994,0,0,0,0,0,0
85,78157,20182,19332,18500,18948,19892,62744,21772,22618,22815,23366,23246,71914,20201,21650,21764,21578,22777,47833,27173,25020,24102,24734,26668,54107,23108,24915,26670,24591,24283,0,0,0,0,0,0
86,79313,20565,19585,18751,19192,19858,64402,22213,23012,23172,23833,23681,73683,20511,22148,22209,22018,23289,48607,27727,25438,24440,25099,27100,54953,23418,25226,27010,24907,24598,0,0,0,0,0,0
87,80075,20718,19815,18977,19458,20136,65648,22525,23372,23623,24286,24106,75136,20922,22562,22588,22404,23815,49378,28148,25900,24933,25650,27636,55463,23731,25502,27344,25189,24929,0,0,0,0,0,0
88,81059,21100,20156,19300,19680,20410,67311,23071,23811,23983,24731,24645,76646,21295,23079,23051,22872,24140,50516,28573,26285,25331,25973,28070,56185,23973,25856,27626,25588,25215,0,0,0,0,0,0
89,87061,21456,20003,19765,20070,20933,68738,23392,24213,24383,25292,25113,78112,21681,23504,23586,23336,24691,50714,28944,26725,25632,26381,28399,56979,24328,26140,28128,25805,25523,0,0,0,0,0,0
90,88056,21640,20213,19993,20314,21115,69899,23690,24622,24757,25742,25605,79849,22078,23985,23944,23822,25066,51718,29464,27110,26145,26717,28957,57600,24608,26440,28378,26206,25919,0,0,0,0,0,0
91,88925,21840,20484,20143,20531,21363,71544,24055,24994,25104,26201,26098,81632,22520,24444,24439,24268,25762,52335,29869,27560,26517,27301,29346,58268,24932,26793,28826,26482,26137,0,0,0,0,0,0
92,90075,22152,20665,20445,20791,21644,73027,24605,25244,25563,26778,26522,83333,22960,24955,24944,24771,26193,53393,30674,28088,27044,27637,29968,58969,25207,26994,29091,26794,26434,0,0,0,0,0,0
93,90992,22356,20995,20611,21002,21849,74654,24875,25715,25923,27175,26989,85155,23320,25381,25459,25200,26670,53785,30925,28477,27352,28070,30327,59529,25527,27354,29478,27065,26775,0,0,0,0,0,0
94,92628,22626,21145,20909,21325,22152,87640,25284,26039,26411,27740,27599,99370,23764,25917,25908,25753,27169,57593,31905,28946,28021,28567,30893,60666,25844,27602,29833,27483,27082,0,0,0,0,0,0
95,93809,22985,21425,21150,21592,22417,90121,25648,26360,26825,28243,28090,101321,24215,26352,26417,26415,27652,58523,32388,29492,28415,29021,31421,61306,26103,27910,30171,27684,27340,0,0,0,0,0,0
96,94197,23217,21715,21388,21792,22640,79887,26142,26873,27174,28762,28660,90138,24659,26803,26812,26661,28179,56273,32289,29777,28772,29365,31792,61526,26394,28199,30547,28177,27713,0,0,0,0,0,0
97,100560,23500,22048,21718,22323,23290,81382,26560,27363,27631,29293,29060,91957,24932,27334,27362,27216,28682,56609,32592,30077,28903,29643,32106,62313,26722,28571,30915,28414,28010,0,0,0,0,0,0
98,101403,23733,22247,21987,22491,23439,83003,27039,27695,28006,29830,29528,93541,25482,27917,27853,27646,29160,57675,33007,30365,29274,29898,32506,63034,26972,28919,31292,28745,28345,0,0,0,0,0,0
99,102521,23930,22482,22139,22772,23766,84408,27413,28190,28414,30384,30141,95047,25845,28357,28348,28271,29710,58115,33290,30809,29720,30363,32893,63687,27349,29300,31940,29076,28699,0,0,0,0,0,0
100,103673,24228,22703,22354,22980,24078,86009,27710,28516,28767,30818,30591,96627,26332,28788,28853,28709,30199,59119,33706,31216,30221,30793,33452,64458,27703,29641,32081,29422,28960,0,0,0,0,0,0
