COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 100
ITER_COUNT 11
NUM_TESTS 20
TEST_TYPE random
SEED 1763077086

Init: 60572

## MERGING 3 LISTS ##
Baseline (copy+sort) 461
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
Tournament Tree (Oz)                     | true    |      ? |    1714,1716,1771 |            15.7611 |

## MERGING 13 LISTS ##
Baseline (copy+sort) 2734
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |    1710,1712,1775 |            18.1463 |
Heap Cache (O2)                          | true    |      ? |    1560,1561,1585 |             7.0230 |
Find SIMD (O2)                           | true    |      ? |    2005,2006,2059 |            15.1897 |
Find SIMD (Oz)                           | true    |      ? |    2037,2043,2095 |            15.4358 |
Find SIMD (O1)                           | true    |      ? |    1962,1966,2026 |            17.6392 |
Heap Cache (Os)                          | true    |      ? |    1590,1590,1593 |             1.0523 |
Insert Cache (O1)                        | true    |      ? |    1064,1066,1112 |            13.5299 |
Heap Cache (O3)                          | true    |      ? |    1567,1568,1629 |            17.4380 |
Heap Cache (Oz)                          | true    |      ? |    1645,1646,1706 |            17.2694 |
Tournament Tree (O1)                     | true    |      ? |    1756,1758,1761 |             1.5851 |
Tournament Tree (Os)                     | true    |      ? |    1910,1911,1959 |            13.8128 |
Tournament Tree (O3)                     | true    |      ? |    1704,1707,1747 |            11.6548 |
Insert Cache (Oz)                        | true    |      ? |    1111,1112,1169 |            16.4784 |
Insert Cache (O2)                        | true    |      ? |    1095,1095,1097 |             0.5750 |
Find SIMD (Os)                           | true    |      ? |    2120,2125,2178 |            17.3648 |
Insert Cache (O3)                        | true    |      ? |    1192,1198,1230 |            10.1248 |
Heap Cache (O1)                          | true    |      ? |    1696,1700,1755 |            16.0922 |
Find SIMD (O3)                           | true    |      ? |    2214,2221,2274 |            15.8276 |
Insert Cache (Os)                        | true    |      ? |    1108,1108,1168 |            17.0352 |
Tournament Tree (Oz)                     | true    |      ? |    1972,1973,1977 |             1.4827 |

## MERGING 14 LISTS ##
Baseline (copy+sort) 3249
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |    1848,1850,1908 |            16.7929 |
Heap Cache (O2)                          | true    |      ? |    1787,1792,1796 |             2.1742 |
Find SIMD (O2)                           | true    |      ? |    2182,2187,2242 |            16.4055 |
Find SIMD (Oz)                           | true    |      ? |    2213,2218,2290 |            21.2148 |
Find SIMD (O1)                           | true    |      ? |    2135,2139,2192 |            15.3827 |
Heap Cache (Os)                          | true    |      ? |    1796,1796,1848 |            14.7306 |
Insert Cache (O1)                        | true    |      ? |    1169,1170,1230 |            17.2061 |
Heap Cache (O3)                          | true    |      ? |    1783,1785,1790 |             2.5357 |
Heap Cache (Oz)                          | true    |      ? |    1861,1863,1922 |            16.9564 |
Tournament Tree (O1)                     | true    |      ? |    1902,1905,1962 |            16.6202 |
Tournament Tree (Os)                     | true    |      ? |    2052,2053,2110 |            16.4141 |
Tournament Tree (O3)                     | true    |      ? |    1844,1847,1904 |            16.7228 |
Insert Cache (Oz)                        | true    |      ? |    1224,1225,1256 |            11.8573 |
Insert Cache (O2)                        | true    |      ? |    1212,1213,1216 |             1.0757 |
Find SIMD (Os)                           | true    |      ? |    2305,2309,2367 |            16.7297 |
Insert Cache (O3)                        | true    |      ? |    1320,1328,1343 |             6.3584 |
Heap Cache (O1)                          | true    |      ? |    1899,1901,1945 |            12.6406 |
Find SIMD (O3)                           | true    |      ? |    2392,2397,2441 |            13.4895 |
Insert Cache (Os)                        | true    |      ? |    1225,1226,1276 |            14.4096 |
Tournament Tree (Oz)                     | true    |      ? |    2136,2138,2194 |            16.1025 |

## MERGING 15 LISTS ##
Baseline (copy+sort) 3359
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |    2004,2009,2065 |            16.5968 |
Heap Cache (O2)                          | true    |      ? |    2010,2012,2072 |            17.2646 |
Find SIMD (O2)                           | true    |      ? |    2369,2371,2443 |            20.4640 |
Find SIMD (Oz)                           | true    |      ? |    2403,2408,2459 |            15.2218 |
Find SIMD (O1)                           | true    |      ? |    2300,2305,2363 |            22.5766 |
Heap Cache (Os)                          | true    |      ? |    2016,2017,2069 |            14.8285 |
Insert Cache (O1)                        | true    |      ? |    1283,1283,1285 |             0.6166 |
Heap Cache (O3)                          | true    |      ? |    2009,2013,2069 |            16.5420 |
Heap Cache (Oz)                          | true    |      ? |    2092,2093,2149 |            16.0686 |
Tournament Tree (O1)                     | true    |      ? |    2063,2065,2118 |            15.4171 |
Tournament Tree (Os)                     | true    |      ? |    2237,2237,2296 |            16.8582 |
Tournament Tree (O3)                     | true    |      ? |    2000,2003,2035 |             9.6046 |
Insert Cache (Oz)                        | true    |      ? |    1338,1339,1393 |            15.5590 |
Insert Cache (O2)                        | true    |      ? |    1331,1331,1332 |             0.4810 |
Find SIMD (Os)                           | true    |      ? |    2501,2504,2567 |            18.1048 |
Insert Cache (O3)                        | true    |      ? |    1733,1734,1796 |            17.6934 |
Heap Cache (O1)                          | true    |      ? |    2141,2144,2204 |            17.4370 |
Find SIMD (O3)                           | true    |      ? |    2562,2568,2638 |            27.0567 |
Insert Cache (Os)                        | true    |      ? |    1341,1342,1409 |            19.2311 |
Tournament Tree (Oz)                     | true    |      ? |    2313,2314,2374 |            17.2646 |

## MERGING 16 LISTS ##
Baseline (copy+sort) 3824
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |    2138,2139,2201 |            17.7838 |
Heap Cache (O2)                          | true    |      ? |    2137,2139,2178 |            11.3006 |
Find SIMD (O2)                           | true    |      ? |    2606,2609,2664 |            21.3859 |
Find SIMD (Oz)                           | true    |      ? |    2615,2618,2672 |            15.6918 |
Find SIMD (O1)                           | true    |      ? |    2471,2475,2531 |            16.5090 |
Heap Cache (Os)                          | true    |      ? |    2148,2149,2183 |             9.8114 |
Insert Cache (O1)                        | true    |      ? |    1400,1400,1461 |            17.3563 |
Heap Cache (O3)                          | true    |      ? |    2127,2129,2166 |            10.7642 |
Heap Cache (Oz)                          | true    |      ? |    2219,2220,2282 |            23.5583 |
Tournament Tree (O1)                     | true    |      ? |    2204,2206,2245 |            11.2639 |
Tournament Tree (Os)                     | true    |      ? |    2389,2390,2451 |            17.5410 |
Tournament Tree (O3)                     | true    |      ? |    2134,2142,2195 |            16.4231 |
Insert Cache (Oz)                        | true    |      ? |    1454,1455,1516 |            17.6574 |
Insert Cache (O2)                        | true    |      ? |    1448,1450,1510 |            17.3682 |
Find SIMD (Os)                           | true    |      ? |    2735,2739,2793 |            15.8485 |
Insert Cache (O3)                        | true    |      ? |    1934,1934,1995 |            22.7236 |
Heap Cache (O1)                          | true    |      ? |    2231,2233,2292 |            16.9934 |
Find SIMD (O3)                           | true    |      ? |    2734,2739,2770 |            11.4992 |
Insert Cache (Os)                        | true    |      ? |    1457,1458,1513 |            15.7884 |
Tournament Tree (Oz)                     | true    |      ? |    2467,2470,2531 |            17.5932 |

## MERGING 17 LISTS ##
Baseline (copy+sort) 3787
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |    2401,2404,2463 |            17.1878 |
Heap Cache (O2)                          | true    |      ? |    2258,2259,2317 |            16.4869 |
Find SIMD (O2)                           | true    |      ? |    2621,2628,2698 |            24.6442 |
Find SIMD (Oz)                           | true    |      ? |    2673,2684,2740 |            16.9106 |
Find SIMD (O1)                           | true    |      ? |    2855,2863,2923 |            23.9283 |
Heap Cache (Os)                          | true    |      ? |    2311,2312,2364 |            14.9975 |
Insert Cache (O1)                        | true    |      ? |    1521,1522,1530 |             2.4052 |
Heap Cache (O3)                          | true    |      ? |    2254,2256,2319 |            23.8130 |
Heap Cache (Oz)                          | true    |      ? |    2383,2385,2449 |            18.3996 |
Tournament Tree (O1)                     | true    |      ? |    2476,2477,2535 |            16.6207 |
Tournament Tree (Os)                     | true    |      ? |    2673,2676,2731 |            19.0779 |
Tournament Tree (O3)                     | true    |      ? |    2400,2403,2436 |            10.3133 |
Insert Cache (Oz)                        | true    |      ? |    1571,1571,1630 |            16.7648 |
Insert Cache (O2)                        | true    |      ? |    1567,1568,1618 |            14.4245 |
Find SIMD (Os)                           | true    |      ? |    2832,2835,2893 |            16.8297 |
Insert Cache (O3)                        | true    |      ? |    2138,2139,2196 |            16.4538 |
Heap Cache (O1)                          | true    |      ? |    2387,2391,2447 |            21.6253 |
Find SIMD (O3)                           | true    |      ? |    2946,2947,3003 |            16.1214 |
Insert Cache (Os)                        | true    |      ? |    1574,1575,1635 |            17.0420 |
Tournament Tree (Oz)                     | true    |      ? |    2763,2764,2811 |            13.4797 |

## MERGING 18 LISTS ##
Baseline (copy+sort) 4308
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Tournament Tree (O2)                     | true    |      ? |    2643,2646,2707 |            23.3900 |
Heap Cache (O2)                          | true    |      ? |    2434,2436,2490 |            15.5143 |
Find SIMD (O2)                           | true    |      ? |    2746,2750,2780 |             9.3711 |
Find SIMD (Oz)                           | true    |      ? |    2821,2826,2877 |            19.0028 |
Find SIMD (O1)                           | true    |      ? |    2983,2986,3043 |            16.6644 |
Heap Cache (Os)                          | true    |      ? |    2471,2473,2529 |            21.2066 |
Insert Cache (O1)                        | true    |      ? |    1647,1648,1650 |             0.9621 |
Heap Cache (O3)                          | true    |      ? |    2423,2425,2476 |            14.6598 |
Heap Cache (Oz)                          | true    |      ? |    2578,2581,2640 |            22.5484 |
Tournament Tree (O1)                     | true    |      ? |    2741,2744,2798 |            15.7018 |
Tournament Tree (Os)                     | true    |      ? |    2935,2936,2994 |            16.5554 |
Tournament Tree (O3)                     | true    |      ? |    2641,2642,2704 |            17.7959 |
Insert Cache (Oz)                        | true    |      ? |    1707,1708,1764 |            16.1158 |
Insert Cache (O2)                        | true    |      ? |    1683,1684,1692 |             2.4121 |
