n,Baseline (copy+sort),Find SIMD (O2),Find SIMD (O3),Insert Cache (O2),Insert Cache (O3),Heap Cache (O2),Heap Cache (O3),Tournament Tree (O2),Tournament Tree (O3)
384,12451,13871,13916,32236,15405,12567,12237,11897,11883
385,12247,14169,14171,32438,15480,12578,12283,11942,11891
386,12456,14924,14898,32595,15441,12698,12301,11989,11952
387,12334,14953,14956,32714,15474,12658,12327,12056,12049
388,12572,14216,14239,32860,15642,12707,12361,12064,12041
389,12393,14262,14238,33015,15746,12725,12397,12104,12059
390,12627,15038,15009,33197,15652,12804,12432,12136,12098
391,12489,15065,15060,33315,15768,12839,12492,12194,12154
392,12796,14355,14419,33483,15922,12850,12507,12198,12159
393,12531,14626,14648,33691,15973,12863,12554,12231,12188
394,12832,15434,15426,33796,15884,12912,12637,12297,12243
395,12659,15460,15485,33996,15992,12954,12636,12300,12294
396,12873,14701,14708,34126,16125,13041,12658,12328,12331
397,12732,14778,14778,34300,16220,13055,12698,12387,12387
398,13036,15545,15551,34491,16175,13085,12780,12416,12410
399,12874,15557,15576,34651,16257,13108,12808,12433,12444
400,13004,14843,14875,34778,16378,13128,12842,12490,12472
401,12912,15103,15114,34968,16461,13166,12912,12524,12503
402,13009,15969,15978,35076,16431,13233,12925,12570,12514
403,12957,16016,15975,35232,16480,13225,12968,12603,12554
404,13192,15208,15184,35417,16643,13300,13034,12662,12647
405,13093,15251,15253,35548,16720,13352,13024,12696,12663
406,13258,16072,16060,35795,16689,13354,13089,12683,12681
407,13014,16130,16143,35894,16740,13409,13128,12713,12711
408,13306,15368,15328,36081,16892,13491,13178,12768,12761
409,13171,15602,15604,36278,16924,13466,13228,12836,12785
410,13425,16533,16557,36415,16901,13527,13264,12840,12824
411,13143,16561,16615,36565,17020,13576,13271,12903,12870
412,13393,15734,15739,36719,17188,13647,13359,12918,12889
413,13264,15760,15761,36899,17212,13697,13437,12920,12875
414,13682,16639,16654,37064,17215,13723,13472,12968,12947
415,13341,16645,16668,37260,17275,13770,13498,13026,12989
416,13644,15857,15861,37377,17404,13780,13563,13025,13042
417,13414,16111,16146,37590,17455,13832,13533,13054,13046
418,13818,17064,17096,37716,17431,13900,13614,13075,13108
419,13532,17172,17189,37900,17523,13890,13663,13141,13130
420,13741,16226,16236,38071,17666,13961,13689,13170,13148
421,13548,16285,16242,38228,17727,13936,13766,13230,13198
422,13878,17227,17262,38466,17705,13990,13759,13204,13214
423,13693,17302,17301,38567,17802,14049,13816,13298,13271
424,13840,16412,16402,38732,17963,14061,13897,13309,13236
425,13775,16643,16633,38956,17986,14140,13897,13346,13336
426,13965,17746,17725,39113,17979,14214,13977,13350,13350
427,13872,17803,17798,39235,18009,14202,14031,13421,13391
428,14070,16768,16759,39416,18229,14223,14046,13452,13399
429,13888,16786,16828,39613,18310,14270,14064,13486,13450
430,14090,17847,17832,39789,18269,14362,14167,13513,13499
431,13889,17900,17888,39905,18294,14385,14196,13535,13504
432,14275,16938,16917,40154,18442,14438,14243,13546,13505
433,13975,17248,17219,40318,18538,14490,14310,13594,13576
434,14267,18336,18345,40512,18533,14515,14290,13628,13598
435,14023,18393,18380,40657,18558,14528,14363,13671,13615
436,14270,17320,17364,40848,18754,14604,14437,13708,13688
437,14242,17330,17389,41018,18847,14628,14475,13686,13671
438,14423,18479,18495,41172,18814,14665,14490,13758,13742
439,14250,18533,18507,41376,18859,14696,14540,13750,13735
440,14460,17529,17485,41543,19032,14729,14619,13783,13793
441,14378,17787,17795,41715,19121,14813,14682,13848,13810
442,14588,18939,18949,41880,19073,14875,14710,13847,13824
443,14310,18948,19014,42111,19154,14919,14690,13905,13908
444,14835,17897,17982,42250,19302,14956,14808,13962,13870
445,14353,17944,17985,42425,19382,14944,14834,13959,13951
446,14699,19079,19075,42599,19367,15042,14874,13995,13964
447,14452,19126,19127,42760,19393,15079,14919,14011,13990
448,14838,18091,18085,42952,19613,15100,14940,14065,14045
449,14612,18429,18421,43062,19671,15164,14997,14068,14073
450,14836,19546,19529,43342,19613,15227,15012,14138,14151
451,14567,19548,19595,43481,19714,15214,15083,14155,14149
452,14913,18535,18505,43696,19861,15282,15126,14200,14155
453,14769,18557,18602,43833,19978,15275,15196,14226,14185
454,14965,19699,19738,44030,19908,15343,15218,14281,14263
455,14701,19713,19777,44257,20011,15369,15238,14281,14279
456,15066,18687,18732,44422,20200,15448,15307,14287,14329
457,14869,19012,19040,44600,20219,15457,15339,14366,14330
458,15289,20187,20151,44742,20196,15480,15401,14402,14325
459,14933,20230,20209,44974,20232,15545,15438,14437,14407
460,15191,19160,19176,45120,20501,15648,15469,14437,14444
