COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 30
SEED 1759287768

Init: 12341

## MERGING 3 LISTS ##
Baseline (copy+sort) 482
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
Find (O1)                                | true    |      ? |    1329,1329,1329 |             0.0000 |
Find (O3)                                | true    |      ? |    1504,1504,1504 |             0.0000 |
Find (Oz)                                | true    |      ? |    1408,1408,1408 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       941,941,941 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |       916,916,916 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       682,682,682 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       981,981,981 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       892,892,892 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |       693,693,693 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |    1229,1229,1229 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |    1066,1066,1066 |             0.0000 |
Find (O2)                                | true    |      ? |    1376,1376,1376 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (O3)                     | true    |      ? |    1039,1039,1039 |             0.0000 |
Find (Os)                                | true    |      ? |    1475,1475,1475 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       684,684,684 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |    1043,1043,1043 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O3)                        | true    |      ? |       758,758,758 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       699,699,699 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       681,681,681 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       667,667,667 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |    1227,1227,1227 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (O2)                          | true    |      ? |       895,895,895 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       694,694,694 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (Os)                        | true    |      ? |       680,680,680 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported

## MERGING 10 LISTS ##
Baseline (copy+sort) 2214
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find Unrolled (O3)                       | true    |      ? |       887,887,887 |             0.0000 |
Find (O1)                                | true    |      ? |    1459,1459,1459 |             0.0000 |
Find (O3)                                | true    |      ? |    1664,1664,1664 |             0.0000 |
Find (Oz)                                | true    |      ? |    1552,1552,1552 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |    1113,1113,1113 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |    1074,1074,1074 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       786,786,786 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |    1145,1145,1145 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |    1045,1045,1045 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |       876,876,876 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |    1418,1418,1418 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |    1228,1228,1228 |             0.0000 |
Find (O2)                                | true    |      ? |    1500,1500,1500 |             0.0000 |
