n,Heap (Cache),Tournament Tree (Cache)
1847,103,120
1848,102,120
1849,102,121
1850,103,121
1851,104,121
1852,103,121
1853,103,121
1854,103,122
1855,102,122
1856,102,121
1857,103,121
1858,104,122
1859,104,122
1860,103,122
1861,103,122
1862,103,121
1863,103,122
1864,103,121
1865,103,123
1866,103,123
1867,103,122
1868,103,122
1869,103,122
1870,105,122
1871,104,122
1872,104,122
1873,105,124
1874,103,123
1875,104,123
1876,103,124
1877,103,123
1878,104,124
1879,104,124
1880,106,124
1881,104,123
1882,106,123
1883,108,124
1884,105,124
1885,104,123
1886,104,125
1887,105,124
1888,105,124
1889,106,124
1890,106,125
1891,106,123
1892,105,124
1893,105,124
1894,106,124
1895,105,124
1896,106,124
1897,106,124
1898,106,126
1899,105,125
1900,105,125
1901,105,125
1902,106,126
1903,106,125
1904,105,125
1905,106,125
1906,105,125
1907,107,125
1908,106,125
1909,106,125
1910,106,126
1911,107,125
1912,107,126
1913,107,126
1914,107,126
1915,107,127
1916,107,127
1917,107,128
1918,107,126
1919,107,126
1920,107,126
1921,109,127
1922,108,126
1923,108,126
1924,109,127
1925,107,127
1926,107,127
1927,108,127
1928,108,126
1929,108,128
1930,108,127
1931,107,127
1932,109,127
1933,108,127
1934,107,127
1935,108,127
1936,108,128
1937,108,127
1938,109,127
1939,108,128
1940,108,128
1941,108,128
1942,108,128
1943,109,128
1944,109,128
1945,109,128
1946,109,128
1947,109,129
1948,110,129
1949,109,129
1950,108,130
1951,109,129
1952,111,129
1953,110,130
1954,109,129
1955,110,129
1956,109,129
1957,112,129
1958,109,129
1959,109,129
1960,109,130
1961,110,130
1962,110,129
1963,110,129
1964,111,130
1965,111,129
1966,110,130
1967,110,130
1968,111,130
1969,110,131
1970,110,131
1971,111,130
1972,110,130
1973,111,131
1974,111,130
1975,111,130
1976,111,131
1977,112,131
1978,111,131
1979,111,132
1980,111,131
1981,111,132
1982,110,131
1983,111,132
1984,112,131
1985,110,133
1986,113,132
1987,110,131
1988,112,131
1989,111,132
1990,112,131
1991,112,132
1992,112,132
1993,112,132
1994,111,132
1995,112,132
1996,111,132
1997,112,133
1998,112,132
1999,112,133
2000,112,133
2001,113,134
2002,112,132
2003,112,133
2004,112,133
2005,113,133
2006,112,132
2007,112,133
2008,112,133
2009,112,133
2010,112,133
2011,113,134
