n,Find,Heap Cache,Tournament Tree
684,39337,23849,25210
685,39377,23893,25232
686,37654,23974,25263
687,37727,24033,25295
688,39656,23986,25356
689,40103,24061,25398
690,38165,24088,25452
691,38212,24215,25477
692,40072,24374,25526
693,40187,24259,25569
694,38366,24339,25614
695,38468,24398,25676
696,40412,24353,25717
697,40773,24424,25731
698,38896,24437,25828
699,38954,24440,25804
700,40884,24552,25850
701,40981,24634,25926
702,39131,24606,25959
703,39209,24825,26019
704,41211,24683,26042
705,41544,24726,26097
706,39634,24785,26132
707,39673,24791,26156
708,41640,24874,26256
709,41718,24887,26254
710,39881,24957,26345
711,39954,25023,26347
712,41938,25056,26428
713,42365,25062,26463
714,40394,25156,26483
715,40473,25179,26580
716,42487,25223,26585
717,42551,25219,26623
718,40636,25263,26683
719,40644,25380,26743
720,42823,25383,26762
721,43191,25424,26825
722,41126,25462,26878
723,41211,25528,26954
724,43248,25560,26931
725,43310,25639,27002
726,41394,25698,27064
727,41440,25662,27096
728,43623,25738,27166
729,44066,25745,27208
730,41917,25844,27188
731,42008,26006,27257
732,44173,25920,27340
733,44185,26094,27322
734,42144,26027,27393
735,42210,26100,27421
736,44479,26101,27476
737,45135,26628,27503
738,42626,26282,27591
739,42697,26280,27604
740,44942,26292,27660
741,45658,26731,28166
742,42967,26462,27785
743,43084,26630,27789
744,45326,26788,27800
745,45952,26485,27888
746,44007,26660,27964
747,43522,26552,27954
748,45856,26648,27994
749,45968,26676,28069
750,43760,26741,28134
751,43798,26815,28138
752,46223,26883,28212
753,47277,27349,28343
754,44233,26927,28250
755,44432,27168,28563
756,47047,27153,28491
757,46903,27118,28392
758,44628,27341,28562
759,44669,27206,28606
760,47179,27283,28570
761,47612,27584,28708
762,45180,27599,28710
763,45219,27480,28791
764,47733,27526,28787
765,47885,27441,28846
766,45454,27704,28832
767,45370,27568,28833
768,48307,27597,28893
769,48334,27550,28916
770,45945,27701,29250
771,45938,27618,29067
772,48976,27853,29241
773,48852,27904,29276
774,46481,27824,29283
775,46192,27791,29229
776,48802,27824,29264
777,49270,27891,29299
778,46668,27898,29336
779,46756,27938,29385
780,49364,28117,29402
781,49425,28102,29487
782,46921,28397,29490
783,46960,28281,29507
784,49684,28250,29610
785,50129,28185,29671
786,47500,28369,29698
787,47572,28250,29711
788,50214,28327,29729
789,50277,28377,29785
790,47711,28417,29840
791,47757,28453,29930
792,50578,28523,29949
793,51069,28526,29980
794,48356,28614,30037
795,48398,28646,30079
796,51143,28718,30133
797,51245,28956,30203
798,48554,28744,30226
799,48657,28786,30244
800,51488,28824,30348
801,51908,29097,30360
802,49144,28927,30381
803,49236,28988,30401
804,52019,29032,30439
805,52058,29040,30522
806,49385,29116,30531
807,49423,29158,30588
808,52394,29145,30626
809,52854,29174,30663
810,49993,29290,30718
811,50070,29303,30784
812,52992,29365,30856
813,53117,29405,30862
814,50305,29405,30914
815,50326,29477,30963
816,53272,29740,30973
817,53726,29620,31025
818,50812,29730,31069
819,50893,29660,31119
820,53805,29682,31176
821,53888,29697,31209
822,51021,29789,31277
823,51113,29860,31284
824,54178,29857,31358
825,54674,29881,31356
826,51675,29928,31456
827,51704,30086,31487
828,54749,30027,31511
829,54845,30060,31556
830,51946,30193,31695
831,51995,30157,31598
832,55097,30345,31695
833,55497,30308,31788
834,52501,30409,31746
835,52617,30348,31930
836,55684,30396,31930
837,55727,30510,31893
838,52809,30629,31970
839,52848,30496,31997
840,56038,30572,32063
841,56580,30604,32092
842,53448,30666,32221
843,53528,30657,32166
844,56693,30783,32253
845,56752,30940,32324
846,53737,30849,32355
847,53818,30907,32353
848,57049,30968,32531
849,57478,30975,32469
850,54315,30975,32567
851,54412,31004,32524
852,57556,31150,32549
853,57659,31100,32620
854,54616,31151,32669
855,54657,31237,32748
856,57954,31295,32727
857,58462,31284,32799
858,55205,31359,32798
859,55317,31408,32954
860,58593,31513,32948
861,58680,31556,33031
862,55504,31519,32987
863,55578,31595,33050
864,58888,31636,33119
865,59347,31656,33144
866,56111,31749,33186
867,56130,31833,33229
868,59490,31823,33282
869,59535,31892,33314
870,56400,31925,33395
871,56442,31928,33435
872,59836,32004,33526
873,60382,32038,33465
874,57057,32123,33568
875,57187,32208,33587
876,60512,32179,33658
877,60601,32229,33705
878,57301,32481,33798
879,57393,32331,33778
880,60871,32408,33857
881,61316,32602,33910
882,57934,32457,33850
883,58021,32516,33959
884,61425,32586,34093
885,61528,32660,34054
886,58255,32815,34146
887,58271,32738,34129
888,61781,32813,34190
889,62348,32875,34280
890,58917,32856,34288
891,59002,32912,34312
892,62436,32999,34269
893,62509,32969,34456
894,59195,33107,34542
895,59327,33223,34519
896,62960,33288,34585
897,63441,33254,34602
898,59801,33267,34663
899,59952,33291,34742
900,63511,33371,34792
901,63601,33468,34797
902,60131,33468,34943
903,60307,33462,34830
904,63969,33676,35004
905,64469,33624,34967
906,60835,33941,35118
907,60867,33617,35074
908,64445,33711,35122
909,64528,33702,35085
910,61158,33889,35204
911,61259,33914,35219
912,64896,34041,35243
913,65546,33998,35303
914,61744,34108,35439
915,61874,34038,35507
916,65532,34208,35505
917,65603,34309,35598
918,62059,34187,35612
919,62109,34353,35656
920,65952,34509,35694
921,66473,34352,35766
922,62786,34391,35732
923,62779,34484,35862
924,66540,34563,35748
925,66663,34524,35854
926,63011,34614,35979
927,63153,34720,35905
928,66871,34826,36086
929,67444,34955,36129
930,63728,34817,36145
931,63763,35082,36209
932,67479,34958,36169
933,67626,34938,36321
934,64001,35059,36384
935,64050,35002,36437
936,67935,35341,36298
937,68466,35188,36435
938,64631,35159,36414
939,64820,35238,36621
940,68596,35305,36607
941,68624,35278,36652
942,65022,35385,36626
943,65021,35597,36866
944,69014,35535,36829
945,69461,35474,36864
946,65643,35580,36883
947,65688,35660,36953
948,69490,35929,36975
949,69727,35869,37035
950,66030,35773,36988
951,65977,35912,37067
952,69963,36088,37146
953,70515,35859,37278
954,66634,35935,37341
955,66768,36079,37365
956,70707,36325,37350
957,70749,36271,37455
958,66813,36218,37660
959,67053,36328,37412
960,71153,36386,37566
961,71674,36469,37482
962,67699,36416,37720
963,67757,36552,37859
964,71649,36689,37851
965,71801,36552,37878
966,67964,36506,37888
967,68034,36640,37867
968,72160,36861,37886
969,72822,36712,37961
970,68624,36843,38002
971,68787,36772,38143
972,72886,36898,38211
973,72943,36876,38265
974,68878,36933,38205
975,69076,37092,38321
976,73434,37147,38504
977,73943,37128,38340
978,69594,37188,38513
979,69724,37215,38510
980,74228,37240,38506
981,74297,37365,38502
982,69915,37299,38590
983,70041,37350,38620
984,74713,37564,38671
985,75281,37570,38850
986,70741,37597,38706
987,70764,37684,38790
988,75632,37715,38937
989,75650,37760,38981
990,70969,37785,38972
991,71047,37805,38915
992,75768,37914,38997
993,76276,37893,39094
994,71721,37951,39193
995,71781,37947,39296
996,76358,38113,39277
997,76503,38166,39537
998,72011,38281,39486
999,72069,38205,39540
1000,76777,38333,39395
