n,Baseline (copy+sort),Find SIMD,Insert Cache,Heap Cache,Tournament Tree
395,12746,14654,15922,12701,12384
396,13026,14697,16111,12727,12407
397,12703,14726,16170,12756,12466
398,13080,14744,16115,12810,12499
399,12733,14786,16181,12845,12526
400,13072,14835,16351,12881,12565
401,12847,15077,16408,12934,12589
402,13205,15108,16366,12968,12761
403,13044,15132,16496,13095,12691
404,13111,15167,16621,13069,12739
405,12988,15210,16685,13089,12762
406,13181,15257,16659,13148,12792
407,13131,15296,16711,13203,12834
408,13310,15342,16854,13235,12885
409,13285,15591,16934,13287,12911
410,13391,15609,16904,13335,12922
411,13300,15656,16967,13369,12971
412,13485,15671,17131,13419,12999
413,13326,15748,17197,13471,13038
414,13515,15755,17175,13510,13078
415,13404,15800,17222,13546,13104
416,13666,15854,17379,13581,13159
417,13454,16114,17455,13598,13180
418,13744,16124,17405,13669,13204
419,13608,16134,17459,13681,13241
420,13758,16187,17646,13727,13280
421,13517,16251,17709,13787,13335
422,13797,16265,17644,13816,13353
423,13681,16333,17743,13869,13387
424,14009,16360,17910,13931,13418
425,13746,16647,17967,13945,13438
426,14035,16635,17939,14004,13476
427,13791,16701,18009,14046,13519
428,14111,16741,18163,14099,13531
429,13865,16764,18245,14147,13594
430,14148,16798,18221,14198,13620
431,13936,16826,18260,14235,13666
432,14181,16897,18457,14295,13698
433,13940,17178,18507,14331,13720
434,14213,17215,18472,14383,13754
435,14026,17234,18544,14400,13788
436,14312,17291,18723,14440,13833
437,14215,17349,18785,14507,13843
438,14434,17382,18724,14556,13874
439,14243,17428,18834,14590,13921
440,14385,17462,18995,14652,13954
441,14335,17764,19055,14682,13989
442,14670,17789,19012,14748,14013
443,14532,17856,19250,14769,14084
444,14718,17899,19264,14829,14091
445,14444,17912,19346,14848,14120
446,14700,17968,19306,14919,14167
447,14569,17999,19383,14944,14187
448,14714,18046,19535,14970,14200
449,14634,18453,19743,14991,14365
450,15258,18576,19744,15358,14569
451,14853,18660,19806,15408,14522
452,14898,18570,19864,15222,14350
453,14892,18601,19915,15185,14409
454,15090,18627,19885,15239,14420
455,15029,18643,19960,15275,14437
456,14988,18709,20116,15329,14494
457,14849,19031,20230,15347,14542
458,15130,19030,20169,15410,14580
459,14875,19078,20221,15444,14592
460,15225,19136,20475,15503,14615
461,15080,19163,20537,15544,14677
462,15208,19213,20528,15589,14712
463,15062,19266,20611,15625,14744
464,15482,19308,20792,15677,14767
465,15105,19610,20841,15726,14796
466,15432,19614,20786,15749,14816
467,15253,19697,20875,15812,14856
468,15574,19716,21131,15874,14890
469,15364,19749,21214,15907,14915
470,15450,19804,21205,15957,14957
471,15409,19839,21313,16000,14960
472,15723,19892,21504,16045,15036
473,15646,20170,21550,16055,15080
474,15668,20213,21581,16138,15095
475,15548,20252,21677,16170,15134
476,15819,20305,21854,16223,15171
477,15582,20334,21931,16257,15190
478,15852,20376,22002,16320,15227
479,15733,20415,22064,16345,15262
480,16051,20476,22260,16402,15286
481,15793,20738,22325,16427,15314
482,16042,20766,22392,16497,15376
483,15763,20825,22465,16532,15376
484,16040,20870,22600,16570,15391
485,15895,20898,22715,16632,15468
486,16044,20946,22772,16665,15478
487,16221,21144,23079,16805,15682
488,16206,21016,22934,16835,15564
489,16376,21250,23273,16786,15529
490,16343,21285,23120,16948,15643
491,16026,21332,23227,16894,15656
492,16742,21544,23540,17046,15919
493,16361,21585,23663,17182,15910
494,16490,21589,23467,17115,15801
495,16544,21569,23746,17179,15857
496,16394,21533,23599,17077,15803
497,16334,21781,23684,17129,15805
498,16572,21821,23808,17179,15856
499,16411,21837,23902,17205,15887
500,16613,21909,23993,17266,15909
